4.48,7.95,5.99,broad
3.91,8.49,5.73,broad
3.13,8.96,6.15,broad
3.16,8.01,5.12,broad
7.74,1.48,4.21,elongated
4.11,9.31,6.02,broad
3.68,9.1,6.81,broad
4.28,8.72,6.76,broad
3.71,8.92,5.75,broad
6.65,1.81,3.63,elongated
6.47,2.43,4.19,elongated
5.99,2.11,3.98,elongated
7.14,1.88,2.77,elongated
6.64,1.72,3.8,elongated
7.13,1.96,3.53,elongated
6.68,2.18,4.47,elongated
6.35,2.28,4.29,elongated
3.79,9.37,5.21,broad
6.49,2.42,3.65,elongated
6.96,2.05,3.86,elongated
1.98,5.23,0.91,compact
4.31,9.35,5.95,broad
1.6,5.43,1.86,compact
6.15,2.28,4.31,elongated
2.14,5.18,0.9,compact
4.4,9.09,5.87,broad
3.13,8.83,5.88,broad
1.8,4.57,0.97,compact
6.61,1.81,4.09,elongated
6.89,2.16,3.86,elongated
7.04,1.93,3.89,elongated
3.0,8.11,6.13,broad
4.72,8.2,6.4,broad
2.16,5.05,0.62,compact
6.67,2.83,2.65,elongated
6.33,1.17,4.17,elongated
4.19,8.47,6.24,broad
1.81,5.47,1.21,compact
1.43,4.56,0.96,compact
3.62,8.12,7.2,broad
6.04,1.34,4.37,elongated
1.88,5.23,1.1,compact
2.23,5.25,0.49,compact
3.43,8.25,6.48,broad
7.19,2.47,3.67,elongated
1.95,5.28,1.31,compact
6.04,2.51,4.47,elongated
4.36,8.5,6.36,broad
6.4,1.97,2.57,elongated
6.5,1.49,4.14,elongated
2.59,4.09,1.06,compact
1.93,4.87,1.83,compact
2.3,5.43,1.85,compact
6.81,1.33,3.88,elongated
4.82,8.86,5.61,broad
3.96,8.63,6.37,broad
4.21,9.59,5.58,broad
6.28,2.45,3.27,elongated
6.57,2.26,3.72,elongated
4.95,8.97,5.46,broad
2.11,5.18,1.28,compact
1.72,4.67,1.05,compact
7.15,1.92,3.47,elongated
3.59,8.15,5.31,broad
2.77,5.25,1.74,compact
3.37,8.2,6.13,broad
3.39,9.27,6.45,broad
4.51,8.79,4.83,broad
2.94,8.65,5.71,broad
6.66,1.75,3.76,elongated
1.97,4.34,1.57,compact
3.84,8.9,6.05,broad
6.62,2.26,3.8,elongated
2.58,5.43,1.44,compact
2.2,5.72,1.48,compact
4.25,8.91,5.59,broad
3.26,8.23,6.45,broad
6.63,1.77,4.89,elongated
7.22,1.6,4.5,elongated
6.38,2.06,4.12,elongated
7.17,1.23,3.64,elongated
2.55,4.64,1.31,compact
4.3,8.7,5.06,broad
1.18,4.92,1.66,compact
6.86,2.06,3.76,elongated
5.82,2.28,3.37,elongated
1.15,3.87,1.36,compact
6.94,1.92,2.91,elongated
4.3,8.65,6.6,broad
3.95,7.97,6.16,broad
1.86,4.58,1.1,compact
1.25,5.38,1.43,compact
1.41,5.72,1.45,compact
2.5,5.19,1.67,compact
6.84,2.25,4.7,elongated
4.12,7.53,5.66,broad
2.58,4.09,0.54,compact
4.24,8.95,5.91,broad
6.6,2.29,3.11,elongated
5.29,2.49,3.15,elongated
1.8,4.38,1.14,compact
2.5,5.07,1.31,compact
3.79,8.85,6.34,broad
4.08,8.32,5.56,broad
3.98,8.41,5.54,broad
3.97,8.97,6.67,broad
1.54,5.57,0.63,compact
1.67,4.5,1.64,compact
2.11,5.65,1.46,compact
1.6,4.79,1.34,compact
1.93,5.15,1.49,compact
2.28,4.72,1.0,compact
2.19,4.33,1.22,compact
1.11,4.71,1.58,compact
4.07,7.97,5.3,broad
6.84,2.66,3.38,elongated
2.22,4.24,0.42,compact
1.95,4.63,1.42,compact
6.87,2.04,4.4,elongated
2.05,5.52,0.9,compact
